policy,n,xo,env,num_machines,lead_time_p,mttf,a,co,ce,max_batch_size,sorted_degradation,avg_cost,std_cost,avg_FR,std_FR,avg_ES,std_ES
dqn,0,0,Inventory,30,0.5,10,1,2,10,5,False,21.042149999997125,0.041970251369286025,1.0,0.0,19.595631818181808,0.041723462145273206
ppo_probsp,[0],[15.],Inventory-RS,1,0.2,5,1,2,5,3,True,1.0114494795691102,0.007134025470905449,0.5937077717557625,0.006562438888933487,0.2777636363636363,0.004935107826196906
ppo_probsp,[0],[10.],Inventory-RS,1,0.2,5,1,2,5,5,True,1.0154811144947957,0.010878748770226545,0.4806594385620599,0.007762468026396931,0.17747272727272706,0.0028852861267221392
ppo_probsp,['1'],['100'],Inventory-RS,1,0.2,5,1,2,10,3,True,1.3848734148447799,0.017683926022571225,0.5902721774964813,0.008925506640411267,0.27684545454545495,0.0037825283424128215
ppo_probsp,['1'],['100'],Inventory-RS,1,0.2,5,1,2,10,5,True,1.380796327439662,0.018209269064808818,0.5950555611970682,0.008497679730165958,0.28080454545454503,0.0059279437015655745
ppo_probsp,['0'],['52.5'],Inventory-RS,1,0.2,10,1,2,5,3,True,0.5311349484114358,0.005853328229948974,0.45853183423414706,0.012208727481640426,0.0815818181818182,0.0029857651261326773
ppo_probsp,['0'],['55'],Inventory-RS,1,0.2,10,1,2,5,5,True,0.5296350165901551,0.005419310006495962,0.47160516254543616,0.013006843949058843,0.08832272727272739,0.0030926098262132385
ppo_probsp,['0'],['36.25'],Inventory-RS,1,0.2,10,1,2,10,3,True,0.7229125948820508,0.012025540730756821,0.6400083398534795,0.012752144925987842,0.19014545454545456,0.004666515149055027
ppo_probsp,['0'],['31.25'],Inventory-RS,1,0.2,10,1,2,10,5,True,0.7218353711194945,0.009921797363121994,0.6770663739939002,0.009284370554150712,0.22259545454545457,0.003309855680856623
ppo_probsp,['0'],['20'],Inventory-RS,1,0.5,5,1,2,5,3,True,0.8642198081905368,0.007301118513328814,0.6951988995868958,0.007438356737490308,0.2237409090909091,0.005321873233246349
ppo_probsp,['0'],['20'],Inventory-RS,1,0.5,5,1,2,5,5,True,0.8640470887686924,0.0034806302677019905,0.6586497049765694,0.004906928423481351,0.1910863636363636,0.004213538294435788
ppo_probsp,['1'],['100'],Inventory-RS,1,0.5,5,1,2,10,3,True,1.0447661469933185,0.007115380600734734,0.8963516032087128,0.0041705005622444365,0.4942136363636366,0.00309852337532572
ppo_probsp,['1'],['100'],Inventory-RS,1,0.5,5,1,2,10,5,True,1.049729557747375,0.006384203226463509,0.8935442504166033,0.003496403324916275,0.49276818181818244,0.00508056782471107
ppo_probsp,['0'],['62.5'],Inventory-RS,1,0.5,10,1,2,5,3,True,0.4502704422526248,0.00498985425901758,0.70414095849475,0.008354380192173383,0.12013636363636367,0.0023811414722237478
